37485,Amazon EC2 V1,"Filezila Connection Failure (sftp): I tried to connect to my amazon ec2 instance using SecureFX, but there seems to be a problem when connecting via sftp.   The error message I get is:   amazon ec2 sftp Disconnected: No supported authentication methods available (server sent: publickey)  I tried to create a new instance with new private/public key pair, but I still get the same error message.   Do you have any idea?  Edited by: easternsailor on Apr 18, 2012 10:24 AM"
37485,Amazon EC2 V1,"Hi,  Did you make sure you have the right ports open in the security group?  Regards, Preethi"
37485,Amazon EC2 V1,"Yes, I opened all TCP and UDP ports, as well as http and ssh. I can ssh to my instance, but connection via Filezila does not get through.  Edited by: easternsailor on Apr 20, 2012 2:15 AM"
37484,Amazon EC2 V1,Support - Instance Unreachable My instance is not reachable via the external dns entry nor by the private ip    Network Interfaces: Public DNS: ec2-72-44-41-246.compute-1.amazonaws.com Private DNS: domU-12-31-39-05-18-A1.compute-1.internal	Product Codes: Private IP Address: 10.241.27.79  What can be done to resolve this ? Have tried rebooting numerous times.   The instance was off for about 5 days and was turned back on today
37484,Amazon EC2 V1,"Hi,  It looks like the hardware that is running your instance may be experiencing a problem.  Please perform a Stop/Start to move your instance to new hardware.  Cheers, Karen"
37484,Amazon EC2 V1,Thank you Karen that  worked
37483,Amazon EC2 V1,"My paid AMI cannot be launched I have an application that allows customers to launch a paid AMI of mine, however it has stopped working. That is, an error is thrown when a machine is attempted to launch.  Specifically, it is: Amazon.EC2.AmazonEC2Exception: Internal Error ---> System.Net.WebException: The remote server returned an error: (400) Bad Request.    at System.Net.HttpWebRequest.GetResponse()    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters, ImmutableCredentials credentials)    --- End of inner exception stack trace ---    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters, ImmutableCredentials credentials)    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters)    at <the method that normally invokes the launching of an instance>  I added in some debugging messages of my own and found that it seems to be losing it at this part of my code: RunInstancesResponse response = service.RunInstances(request);                   RunningInstance runningInstance = response.RunInstancesResult.Reservation.RunningInstance[0];                 return new EC2Instance(runningInstance.InstanceId, runningInstance.PublicDnsName);  Previously (last year), with the AWSSDK .NET version 1.3.2 it was working fine for about a year. I recently (last month) re-compiled with 1.4.3 and it was also working fine.  Today I tried to use the latest version I made and I am getting the above error. I un-installed my newest version of my app(from AWSSDK 1.4.3) from my dev machine and re-installed the older version(1.3.2), and the same error occurs.  Is this a temporary glitch on the servers? or has something just recently changed?  Thanks.  EDIT: I just tried it with the latest version of the AWSSDK, 1.4.7 and it is still not working."
37483,Amazon EC2 V1,"Bumping after almost 24 hours with no response.  What does this error mean? Amazon.EC2.AmazonEC2Exception: Internal Error ---> System.Net.WebException: The remote server returned an error: (400) Bad Request.    at System.Net.HttpWebRequest.GetResponse()    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters, ImmutableCredentials credentials)    --- End of inner exception stack trace ---    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters, ImmutableCredentials credentials)    at Amazon.EC2.AmazonEC2Client.Invoke[T](IDictionary`2 parameters)    at <the method that normally invokes the launching of an instance>   I tried it again earlier today with both my recent build and the previous version which worked fine for ~ a year. Same error is being thrown.  Help, please."
37483,Amazon EC2 V1,Bumping a couple days later... Can anyone from Amazon shed a little light on what this error means?
37483,Amazon EC2 V1,"Hello  I have notify the SDK service team of your issue, we will keep you posted with any information that we may get"
37483,Amazon EC2 V1,Hello  I have not been able reproduce any problems with the RunInstances operation.  Could you share the code that creates the request object?
37483,Amazon EC2 V1,"Hi, Norm. After a ton of trial-and-error, I think I found the problem. My application was pulling the AMI ID from a file (so I could keep the server updated in  a manner where I don't need to hard-code the ID) and I found that it included some white space at the end of it. To confirm, I grabbed the sample here: http://aws.amazon.com/code/734 and after logging in, I tried to launch one of my machines by it's AMI ID and included a space or two at the end and, indeed, it gave the error: 400 Bad Request. So I corrected for this in my code and it now works.  Again though, this worked previously just fine with (my mistaken) white spaces, so am I correct to believe that something was changed on Amazon's end?  Meanwhile, during my trials, I un-subscribed to my product and then re-subscribed. Now when I try to launch one of my paid AMIs, (from the AWS console) I get a message that says: ""Subscription to ProductCode 1B437231 required.""...although my account says I am subscribed. Can anyone check into that?  Thanks again, Michael"
